Dataset,Tool,value,type
ArcticFireSoils,ALDEx2,1,Recall
cdi_schubert,ALDEx2,0.897435897,Recall
Chemerin,ALDEx2,1,Recall
edd_singh,ALDEx2,1,Recall
glass_plastic_oberbeckmann,ALDEx2,0.8,Recall
GWMC_ASIA_NA,ALDEx2,1,Recall
hiv_lozupone,ALDEx2,0,Recall
ibd_papa,ALDEx2,0,Recall
Ji_WTP_DS,ALDEx2,0.803571429,Recall
MALL,ALDEx2,1,Recall
ob_zhu,ALDEx2,0.5,Recall
sed_plastic_hoellein,ALDEx2,0.081632653,Recall
sed_plastic_rosato,ALDEx2,0.955223881,Recall
seston_plastic_mccormick,ALDEx2,0.24,Recall
sw_plastic_frere,ALDEx2,0.863372093,Recall
sw_sed_detender,ALDEx2,1,Recall
t1d_alkanani,ALDEx2,0,Recall
t1d_mejialeon,ALDEx2,0.090909091,Recall
wood_plastic_kesy,ALDEx2,1,Recall
ArcticFireSoils,ANCOM-II,0.958333333,Recall
cdi_schubert,ANCOM-II,0.948717949,Recall
Chemerin,ANCOM-II,1,Recall
edd_singh,ANCOM-II,1,Recall
glass_plastic_oberbeckmann,ANCOM-II,0.6,Recall
GWMC_ASIA_NA,ANCOM-II,1,Recall
hiv_lozupone,ANCOM-II,0.027777778,Recall
ibd_papa,ANCOM-II,0,Recall
Ji_WTP_DS,ANCOM-II,0.392857143,Recall
MALL,ANCOM-II,1,Recall
ob_zhu,ANCOM-II,0.5,Recall
sed_plastic_hoellein,ANCOM-II,0.142857143,Recall
sed_plastic_rosato,ANCOM-II,0.373134328,Recall
seston_plastic_mccormick,ANCOM-II,0.28,Recall
sw_plastic_frere,ANCOM-II,0.979651163,Recall
sw_sed_detender,ANCOM-II,0.829493088,Recall
t1d_alkanani,ANCOM-II,0,Recall
t1d_mejialeon,ANCOM-II,0.090909091,Recall
wood_plastic_kesy,ANCOM-II,0.5,Recall
ArcticFireSoils,corncob,0.916666667,Recall
cdi_schubert,corncob,0.923076923,Recall
Chemerin,corncob,0.189473684,Recall
edd_singh,corncob,1,Recall
glass_plastic_oberbeckmann,corncob,0.6,Recall
GWMC_ASIA_NA,corncob,1,Recall
hiv_lozupone,corncob,0.222222222,Recall
ibd_papa,corncob,0,Recall
Ji_WTP_DS,corncob,0.232142857,Recall
MALL,corncob,0,Recall
ob_zhu,corncob,0.5,Recall
sed_plastic_hoellein,corncob,0.081632653,Recall
sed_plastic_rosato,corncob,0.776119403,Recall
seston_plastic_mccormick,corncob,0.4,Recall
sw_plastic_frere,corncob,0.48255814,Recall
sw_sed_detender,corncob,0.539170507,Recall
t1d_alkanani,corncob,0.933333333,Recall
t1d_mejialeon,corncob,0.727272727,Recall
wood_plastic_kesy,corncob,0.5,Recall
ArcticFireSoils,DESeq2,1,Recall
cdi_schubert,DESeq2,0.487179487,Recall
Chemerin,DESeq2,1,Recall
edd_singh,DESeq2,1,Recall
glass_plastic_oberbeckmann,DESeq2,0.6,Recall
GWMC_ASIA_NA,DESeq2,1,Recall
hiv_lozupone,DESeq2,0,Recall
ibd_papa,DESeq2,0,Recall
Ji_WTP_DS,DESeq2,0.785714286,Recall
MALL,DESeq2,1,Recall
ob_zhu,DESeq2,1,Recall
sed_plastic_hoellein,DESeq2,0.204081633,Recall
sed_plastic_rosato,DESeq2,0.992537313,Recall
seston_plastic_mccormick,DESeq2,0.44,Recall
sw_plastic_frere,DESeq2,0.683139535,Recall
sw_sed_detender,DESeq2,1,Recall
t1d_alkanani,DESeq2,0,Recall
t1d_mejialeon,DESeq2,0.636363636,Recall
wood_plastic_kesy,DESeq2,1,Recall
ArcticFireSoils,edgeR,1,Recall
cdi_schubert,edgeR,0.641025641,Recall
Chemerin,edgeR,1,Recall
edd_singh,edgeR,1,Recall
glass_plastic_oberbeckmann,edgeR,0.8,Recall
GWMC_ASIA_NA,edgeR,1,Recall
hiv_lozupone,edgeR,0.166666667,Recall
ibd_papa,edgeR,0.25,Recall
Ji_WTP_DS,edgeR,1,Recall
MALL,edgeR,1,Recall
ob_zhu,edgeR,1,Recall
sed_plastic_hoellein,edgeR,0.836734694,Recall
sed_plastic_rosato,edgeR,1,Recall
seston_plastic_mccormick,edgeR,0.96,Recall
sw_plastic_frere,edgeR,0.953488372,Recall
sw_sed_detender,edgeR,1,Recall
t1d_alkanani,edgeR,0,Recall
t1d_mejialeon,edgeR,0.181818182,Recall
wood_plastic_kesy,edgeR,1,Recall
ArcticFireSoils,LEfSe,1,Recall
cdi_schubert,LEfSe,0.923076923,Recall
Chemerin,LEfSe,1,Recall
edd_singh,LEfSe,1,Recall
glass_plastic_oberbeckmann,LEfSe,1,Recall
GWMC_ASIA_NA,LEfSe,1,Recall
hiv_lozupone,LEfSe,0.305555556,Recall
ibd_papa,LEfSe,0.375,Recall
Ji_WTP_DS,LEfSe,1,Recall
MALL,LEfSe,1,Recall
ob_zhu,LEfSe,0.5,Recall
sed_plastic_hoellein,LEfSe,0.265306122,Recall
sed_plastic_rosato,LEfSe,0.947761194,Recall
seston_plastic_mccormick,LEfSe,0.68,Recall
sw_plastic_frere,LEfSe,0.886627907,Recall
sw_sed_detender,LEfSe,0.963133641,Recall
t1d_alkanani,LEfSe,0.6,Recall
t1d_mejialeon,LEfSe,1,Recall
wood_plastic_kesy,LEfSe,0.5,Recall
ArcticFireSoils,MaAsLin2,1,Recall
cdi_schubert,MaAsLin2,0.974358974,Recall
Chemerin,MaAsLin2,1,Recall
edd_singh,MaAsLin2,1,Recall
glass_plastic_oberbeckmann,MaAsLin2,0.8,Recall
GWMC_ASIA_NA,MaAsLin2,1,Recall
hiv_lozupone,MaAsLin2,0.083333333,Recall
ibd_papa,MaAsLin2,0.125,Recall
Ji_WTP_DS,MaAsLin2,0.982142857,Recall
MALL,MaAsLin2,1,Recall
ob_zhu,MaAsLin2,0.5,Recall
sed_plastic_hoellein,MaAsLin2,0.06122449,Recall
sed_plastic_rosato,MaAsLin2,0.985074627,Recall
seston_plastic_mccormick,MaAsLin2,0.64,Recall
sw_plastic_frere,MaAsLin2,0.941860465,Recall
sw_sed_detender,MaAsLin2,1,Recall
t1d_alkanani,MaAsLin2,0,Recall
t1d_mejialeon,MaAsLin2,0.909090909,Recall
wood_plastic_kesy,MaAsLin2,1,Recall
ArcticFireSoils,MaAsLin2 (rare),1,Recall
cdi_schubert,MaAsLin2 (rare),0.923076923,Recall
Chemerin,MaAsLin2 (rare),1,Recall
edd_singh,MaAsLin2 (rare),1,Recall
glass_plastic_oberbeckmann,MaAsLin2 (rare),0.8,Recall
GWMC_ASIA_NA,MaAsLin2 (rare),1,Recall
hiv_lozupone,MaAsLin2 (rare),0.027777778,Recall
ibd_papa,MaAsLin2 (rare),0.125,Recall
Ji_WTP_DS,MaAsLin2 (rare),0.964285714,Recall
MALL,MaAsLin2 (rare),0,Recall
ob_zhu,MaAsLin2 (rare),0,Recall
sed_plastic_hoellein,MaAsLin2 (rare),0.020408163,Recall
sed_plastic_rosato,MaAsLin2 (rare),0.850746269,Recall
seston_plastic_mccormick,MaAsLin2 (rare),0.28,Recall
sw_plastic_frere,MaAsLin2 (rare),0.648255814,Recall
sw_sed_detender,MaAsLin2 (rare),0.940092166,Recall
t1d_alkanani,MaAsLin2 (rare),0,Recall
t1d_mejialeon,MaAsLin2 (rare),0.454545455,Recall
wood_plastic_kesy,MaAsLin2 (rare),0.5,Recall
ArcticFireSoils,metagenomeSeq,0.666666667,Recall
cdi_schubert,metagenomeSeq,0.974358974,Recall
