Dataset,Tool,value,type
ArcticFireSoils,ALDEx2,1,Recall
Chemerin,ALDEx2,1,Recall
glass_plastic_oberbeckmann,ALDEx2,0.833333333,Recall
GWMC_ASIA_NA,ALDEx2,1,Recall
hiv_lozupone,ALDEx2,0,Recall
ibd_papa,ALDEx2,0,Recall
Ji_WTP_DS,ALDEx2,1,Recall
sed_plastic_hoellein,ALDEx2,1,Recall
sed_plastic_rosato,ALDEx2,1,Recall
seston_plastic_mccormick,ALDEx2,1,Recall
sw_plastic_frere,ALDEx2,1,Recall
sw_sed_detender,ALDEx2,1,Recall
t1d_alkanani,ALDEx2,0,Recall
t1d_mejialeon,ALDEx2,0.333333333,Recall
wood_plastic_kesy,ALDEx2,1,Recall
ArcticFireSoils,ANCOM-II,1,Recall
Chemerin,ANCOM-II,0.989473684,Recall
glass_plastic_oberbeckmann,ANCOM-II,0.666666667,Recall
GWMC_ASIA_NA,ANCOM-II,1,Recall
hiv_lozupone,ANCOM-II,0.111111111,Recall
ibd_papa,ANCOM-II,0,Recall
Ji_WTP_DS,ANCOM-II,0.863636364,Recall
sed_plastic_hoellein,ANCOM-II,1,Recall
sed_plastic_rosato,ANCOM-II,0.392523364,Recall
seston_plastic_mccormick,ANCOM-II,1,Recall
sw_plastic_frere,ANCOM-II,0.990566038,Recall
sw_sed_detender,ANCOM-II,0.767857143,Recall
t1d_alkanani,ANCOM-II,0,Recall
t1d_mejialeon,ANCOM-II,0.333333333,Recall
wood_plastic_kesy,ANCOM-II,1,Recall
ArcticFireSoils,corncob,1,Recall
Chemerin,corncob,0.189473684,Recall
glass_plastic_oberbeckmann,corncob,0.833333333,Recall
GWMC_ASIA_NA,corncob,1,Recall
hiv_lozupone,corncob,0.444444444,Recall
ibd_papa,corncob,0,Recall
Ji_WTP_DS,corncob,0.454545455,Recall
sed_plastic_hoellein,corncob,0,Recall
sed_plastic_rosato,corncob,0.971962617,Recall
seston_plastic_mccormick,corncob,0.666666667,Recall
sw_plastic_frere,corncob,0.551886792,Recall
sw_sed_detender,corncob,0.744047619,Recall
t1d_alkanani,corncob,0.933333333,Recall
t1d_mejialeon,corncob,1,Recall
wood_plastic_kesy,corncob,1,Recall
ArcticFireSoils,DESeq2,1,Recall
Chemerin,DESeq2,1,Recall
glass_plastic_oberbeckmann,DESeq2,0.833333333,Recall
GWMC_ASIA_NA,DESeq2,1,Recall
hiv_lozupone,DESeq2,0.222222222,Recall
ibd_papa,DESeq2,0,Recall
Ji_WTP_DS,DESeq2,1,Recall
sed_plastic_hoellein,DESeq2,0.5,Recall
sed_plastic_rosato,DESeq2,0.962616822,Recall
seston_plastic_mccormick,DESeq2,1,Recall
sw_plastic_frere,DESeq2,0.948113208,Recall
sw_sed_detender,DESeq2,0.958333333,Recall
t1d_alkanani,DESeq2,0,Recall
t1d_mejialeon,DESeq2,0.666666667,Recall
wood_plastic_kesy,DESeq2,1,Recall
ArcticFireSoils,edgeR,1,Recall
Chemerin,edgeR,1,Recall
glass_plastic_oberbeckmann,edgeR,1,Recall
GWMC_ASIA_NA,edgeR,1,Recall
hiv_lozupone,edgeR,0.444444444,Recall
ibd_papa,edgeR,1,Recall
Ji_WTP_DS,edgeR,1,Recall
sed_plastic_hoellein,edgeR,1,Recall
sed_plastic_rosato,edgeR,1,Recall
seston_plastic_mccormick,edgeR,1,Recall
sw_plastic_frere,edgeR,1,Recall
sw_sed_detender,edgeR,1,Recall
t1d_alkanani,edgeR,0,Recall
t1d_mejialeon,edgeR,0.333333333,Recall
wood_plastic_kesy,edgeR,1,Recall
ArcticFireSoils,LEfSe,1,Recall
Chemerin,LEfSe,1,Recall
glass_plastic_oberbeckmann,LEfSe,1,Recall
GWMC_ASIA_NA,LEfSe,1,Recall
hiv_lozupone,LEfSe,0.888888889,Recall
ibd_papa,LEfSe,1,Recall
Ji_WTP_DS,LEfSe,1,Recall
sed_plastic_hoellein,LEfSe,1,Recall
sed_plastic_rosato,LEfSe,1,Recall
seston_plastic_mccormick,LEfSe,1,Recall
sw_plastic_frere,LEfSe,0.976415094,Recall
sw_sed_detender,LEfSe,1,Recall
t1d_alkanani,LEfSe,0.8,Recall
t1d_mejialeon,LEfSe,1,Recall
wood_plastic_kesy,LEfSe,1,Recall
ArcticFireSoils,MaAsLin2,1,Recall
Chemerin,MaAsLin2,1,Recall
glass_plastic_oberbeckmann,MaAsLin2,1,Recall
GWMC_ASIA_NA,MaAsLin2,1,Recall
hiv_lozupone,MaAsLin2,0.222222222,Recall
ibd_papa,MaAsLin2,0.4,Recall
Ji_WTP_DS,MaAsLin2,1,Recall
sed_plastic_hoellein,MaAsLin2,1,Recall
sed_plastic_rosato,MaAsLin2,1,Recall
seston_plastic_mccormick,MaAsLin2,1,Recall
sw_plastic_frere,MaAsLin2,0.981132075,Recall
sw_sed_detender,MaAsLin2,1,Recall
t1d_alkanani,MaAsLin2,0,Recall
t1d_mejialeon,MaAsLin2,1,Recall
wood_plastic_kesy,MaAsLin2,1,Recall
ArcticFireSoils,MaAsLin2 (rare),1,Recall
Chemerin,MaAsLin2 (rare),1,Recall
glass_plastic_oberbeckmann,MaAsLin2 (rare),1,Recall
GWMC_ASIA_NA,MaAsLin2 (rare),1,Recall
hiv_lozupone,MaAsLin2 (rare),0.111111111,Recall
ibd_papa,MaAsLin2 (rare),0.4,Recall
Ji_WTP_DS,MaAsLin2 (rare),1,Recall
sed_plastic_hoellein,MaAsLin2 (rare),0.5,Recall
sed_plastic_rosato,MaAsLin2 (rare),1,Recall
seston_plastic_mccormick,MaAsLin2 (rare),1,Recall
sw_plastic_frere,MaAsLin2 (rare),0.787735849,Recall
sw_sed_detender,MaAsLin2 (rare),1,Recall
t1d_alkanani,MaAsLin2 (rare),0,Recall
t1d_mejialeon,MaAsLin2 (rare),1,Recall
wood_plastic_kesy,MaAsLin2 (rare),1,Recall
ArcticFireSoils,metagenomeSeq,0.428571429,Recall
Chemerin,metagenomeSeq,0.957894737,Recall
glass_plastic_oberbeckmann,metagenomeSeq,0.5,Recall
GWMC_ASIA_NA,metagenomeSeq,1,Recall
hiv_lozupone,metagenomeSeq,0,Recall
ibd_papa,metagenomeSeq,0.8,Recall
Ji_WTP_DS,metagenomeSeq,0.909090909,Recall
sed_plastic_hoellein,metagenomeSeq,1,Recall
sed_plastic_rosato,metagenomeSeq,0.990654206,Recall
seston_plastic_mccormick,metagenomeSeq,0.333333333,Recall
sw_plastic_frere,metagenomeSeq,0.929245283,Recall
sw_sed_detender,metagenomeSeq,0.857142857,Recall
t1d_alkanani,metagenomeSeq,0,Recall
t1d_mejialeon,metagenomeSeq,0,Recall
wood_plastic_kesy,metagenomeSeq,1,Recall
ArcticFireSoils,t-test (rare),1,Recall
Chemerin,t-test (rare),1,Recall
glass_plastic_oberbeckmann,t-test (rare),0,Recall
GWMC_ASIA_NA,t-test (rare),1,Recall
hiv_lozupone,t-test (rare),0.111111111,Recall
ibd_papa,t-test (rare),0,Recall
Ji_WTP_DS,t-test (rare),1,Recall
sed_plastic_hoellein,t-test (rare),0,Recall
sed_plastic_rosato,t-test (rare),0.747663551,Recall
seston_plastic_mccormick,t-test (rare),1,Recall
sw_plastic_frere,t-test (rare),0.396226415,Recall
sw_sed_detender,t-test (rare),0.982142857,Recall
t1d_alkanani,t-test (rare),0,Recall
t1d_mejialeon,t-test (rare),0.333333333,Recall
wood_plastic_kesy,t-test (rare),1,Recall
ArcticFireSoils,Wilcoxon (CLR),1,Recall
Chemerin,Wilcoxon (CLR),1,Recall
glass_plastic_oberbeckmann,Wilcoxon (CLR),0.333333333,Recall
GWMC_ASIA_NA,Wilcoxon (CLR),1,Recall
hiv_lozupone,Wilcoxon (CLR),0,Recall
ibd_papa,Wilcoxon (CLR),0,Recall
Ji_WTP_DS,Wilcoxon (CLR),1,Recall
sed_plastic_hoellein,Wilcoxon (CLR),1,Recall
sed_plastic_rosato,Wilcoxon (CLR),1,Recall
